COD_RESERVATORIO_VOL;CODIGO_USINA_RESTRICAO;TIPO_REST;MES;VOL_MIN;VOL_MAX;LIM_MIN;LIM_MAX;PERIOD;LEGENDA_FAIXA
024;046;QDEF;12;00.00;30.00;3900;-;S;Restricao
024;046;QDEF;01;00.00;30.00;3900;-;S;Restricao
024;046;QDEF;02;00.00;30.00;3900;-;S;Restricao
024;046;QDEF;03;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;04;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;05;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;06;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;07;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;08;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;09;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;10;00.00;30.00;2900;-;S;Restricao
024;046;QDEF;11;30.00;100.00;3900;-;S;Normal
024;046;QDEF;12;30.00;100.00;3900;-;S;Normal
024;046;QDEF;01;30.00;100.00;3900;-;S;Normal
024;046;QDEF;02;30.00;100.00;3900;-;S;Normal
024;046;QDEF;03;30.00;100.00;3200;-;S;Normal
024;046;QDEF;04;30.00;100.00;3200;-;S;Normal
024;046;QDEF;05;30.00;100.00;3200;-;S;Normal
024;046;QDEF;06;30.00;100.00;3200;-;S;Normal
024;046;QDEF;07;30.00;100.00;3200;-;S;Normal
024;046;QDEF;08;30.00;100.00;3200;-;S;Normal
024;046;QDEF;09;30.00;100.00;3200;-;S;Normal
024;046;QDEF;10;30.00;100.00;3200;-;S;Normal
& Proposta Res ANA Parana - Porto Primavera - contribuicao Itumbiara
031;046;QDEF;11;00.00;30.00;3900;-;S;Restricao
031;046;QDEF;12;00.00;30.00;3900;-;S;Restricao
031;046;QDEF;01;00.00;30.00;3900;-;S;Restricao
031;046;QDEF;02;00.00;30.00;3900;-;S;Restricao
031;046;QDEF;03;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;04;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;05;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;06;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;07;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;08;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;09;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;10;00.00;30.00;2900;-;S;Restricao
031;046;QDEF;11;30.00;100.00;3900;-;S;Normal
031;046;QDEF;12;30.00;100.00;3900;-;S;Normal
031;046;QDEF;01;30.00;100.00;3900;-;S;Normal
031;046;QDEF;02;30.00;100.00;3900;-;S;Normal
031;046;QDEF;03;30.00;100.00;3200;-;S;Normal
031;046;QDEF;04;30.00;100.00;3200;-;S;Normal
031;046;QDEF;05;30.00;100.00;3200;-;S;Normal
031;046;QDEF;06;30.00;100.00;3200;-;S;Normal
031;046;QDEF;07;30.00;100.00;3200;-;S;Normal
031;046;QDEF;08;30.00;100.00;3200;-;S;Normal
031;046;QDEF;09;30.00;100.00;3200;-;S;Normal
031;046;QDEF;10;30.00;100.00;3200;-;S;Normal
& Proposta Res ANA Parana - Porto Primavera - contribuicao Nova Ponte
025;046;QDEF;11;00.00;30.00;3900;-;S;Restricao
